"Statistic Label","Type of Accommodation Used","Reason for Journey","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2013","Thousand","2384"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2014","Thousand","2635"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2015","Thousand","2621"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2016","Thousand","2844"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2017","Thousand","3080"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2018","Thousand","2795"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2019","Thousand","2800"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2009","Thousand","14348"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2010","Thousand","11922"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2011","Thousand","11176"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2012","Thousand","9736"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2013","Thousand","10480"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2014","Thousand","11545"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2015","Thousand","11558"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2016","Thousand","12729"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2017","Thousand","12274"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2018","Thousand","12750"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2019","Thousand","12803"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2009","Thousand","500"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2010","Thousand","622"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2011","Thousand","572"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2012","Thousand","729"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2013","Thousand","698"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2014","Thousand","849"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2015","Thousand","851"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2016","Thousand","882"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2017","Thousand","760"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2018","Thousand","933"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2019","Thousand","741"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2009","Thousand","900"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2010","Thousand","411"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2011","Thousand","706"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2012","Thousand","798"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2013","Thousand","773"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2014","Thousand","1068"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2015","Thousand","764"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2016","Thousand","764"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2017","Thousand","854"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2018","Thousand","680"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2019","Thousand","716"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2009","Thousand","4484"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2010","Thousand","3989"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2011","Thousand","4169"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2012","Thousand","4074"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2013","Thousand","4451"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2014","Thousand","5171"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2015","Thousand","6729"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2016","Thousand","7854"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2017","Thousand","8594"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2018","Thousand","9575"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2019","Thousand","8930"
