"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents","2019Q3","Portugal","Thousand","2026"
"Number of Nights by Irish Residents","2019Q3","United States and Canada","Thousand","2689"
"Number of Nights by Irish Residents","2019Q3","Great Britain","Thousand","2508"
"Number of Nights by Irish Residents","2019Q3","Northern Ireland","Thousand","515"
"Number of Nights by Irish Residents","2019Q3","Asia (7)","Thousand","1098"
"Number of Nights by Irish Residents","2019Q3","Other Europe (22)","Thousand","3711"
"Number of Nights by Irish Residents","2019Q3","Other countries (26)","Thousand","812"
"Number of Nights by Irish Residents","2019Q4","All Countries","Thousand","12848"
"Number of Nights by Irish Residents","2019Q4","Germany","Thousand","263"
"Number of Nights by Irish Residents","2019Q4","Spain","Thousand","2463"
"Number of Nights by Irish Residents","2019Q4","France","Thousand","560"
"Number of Nights by Irish Residents","2019Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2809"
"Number of Nights by Irish Residents","2019Q4","Italy","Thousand","397"
"Number of Nights by Irish Residents","2019Q4","Portugal","Thousand","417"
"Number of Nights by Irish Residents","2019Q4","United States and Canada","Thousand","2543"
"Number of Nights by Irish Residents","2019Q4","Great Britain","Thousand","2277"
"Number of Nights by Irish Residents","2019Q4","Northern Ireland","Thousand","532"
"Number of Nights by Irish Residents","2019Q4","Asia (7)","Thousand","911"
"Number of Nights by Irish Residents","2019Q4","Other Europe (22)","Thousand","1709"
"Number of Nights by Irish Residents","2019Q4","Other countries (26)","Thousand","777"
"Number of Nights by Irish Residents","2020Q1","All Countries","Thousand","10082"
"Number of Nights by Irish Residents","2020Q1","Germany","Thousand","198"
"Number of Nights by Irish Residents","2020Q1","Spain","Thousand","2041"
"Number of Nights by Irish Residents","2020Q1","France","Thousand","455"
"Number of Nights by Irish Residents","2020Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1503"
"Number of Nights by Irish Residents","2020Q1","Italy","Thousand","285"
"Number of Nights by Irish Residents","2020Q1","Portugal","Thousand","162"
"Number of Nights by Irish Residents","2020Q1","United States and Canada","Thousand","1212"
"Number of Nights by Irish Residents","2020Q1","Great Britain","Thousand","1331"
"Number of Nights by Irish Residents","2020Q1","Northern Ireland","Thousand","173"
"Number of Nights by Irish Residents","2020Q1","Asia (7)","Thousand","1023"
"Number of Nights by Irish Residents","2020Q1","Other Europe (22)","Thousand","1722"
"Number of Nights by Irish Residents","2020Q1","Other countries (26)","Thousand","1482"
"Number of Nights by Irish Residents","2020Q2","All Countries","Thousand","427"
"Number of Nights by Irish Residents","2020Q2","Germany","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Spain","Thousand",""
"Number of Nights by Irish Residents","2020Q2","France","Thousand",""
"Number of Nights by Irish Residents","2020Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Italy","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Portugal","Thousand",""
"Number of Nights by Irish Residents","2020Q2","United States and Canada","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Great Britain","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Northern Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Asia (7)","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Other Europe (22)","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Other countries (26)","Thousand",""
"Number of Nights by Irish Residents","2020Q3","All Countries","Thousand","3820"
"Number of Nights by Irish Residents","2020Q3","Germany","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Spain","Thousand",""
"Number of Nights by Irish Residents","2020Q3","France","Thousand",""
"Number of Nights by Irish Residents","2020Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Italy","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Portugal","Thousand",""
"Number of Nights by Irish Residents","2020Q3","United States and Canada","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Great Britain","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Northern Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Asia (7)","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Other Europe (22)","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Other countries (26)","Thousand",""
"Number of Nights by Irish Residents","2020Q4","All Countries","Thousand","1268"
"Number of Nights by Irish Residents","2020Q4","Germany","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Spain","Thousand",""
"Number of Nights by Irish Residents","2020Q4","France","Thousand",""
"Number of Nights by Irish Residents","2020Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Italy","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Portugal","Thousand",""
"Number of Nights by Irish Residents","2020Q4","United States and Canada","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Great Britain","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Northern Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Asia (7)","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Other Europe (22)","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Other countries (26)","Thousand",""
"Number of Nights by Irish Residents","2021Q1","All Countries","Thousand","1367"
"Number of Nights by Irish Residents","2021Q1","Germany","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Spain","Thousand","162"
"Number of Nights by Irish Residents","2021Q1","France","Thousand",""
"Number of Nights by Irish Residents","2021Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","192"
"Number of Nights by Irish Residents","2021Q1","Italy","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Portugal","Thousand",""
"Number of Nights by Irish Residents","2021Q1","United States and Canada","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Great Britain","Thousand","119"
"Number of Nights by Irish Residents","2021Q1","Northern Ireland","Thousand","73"
"Number of Nights by Irish Residents","2021Q1","Asia (7)","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Other Europe (22)","Thousand","1012"
"Number of Nights by Irish Residents","2021Q1","Other countries (26)","Thousand",""
"Number of Nights by Irish Residents","2021Q2","All Countries","Thousand","1706"
"Number of Nights by Irish Residents","2021Q2","Germany","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Spain","Thousand","11"
"Number of Nights by Irish Residents","2021Q2","France","Thousand",""
"Number of Nights by Irish Residents","2021Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","499"
"Number of Nights by Irish Residents","2021Q2","Italy","Thousand","476"
"Number of Nights by Irish Residents","2021Q2","Portugal","Thousand","5"
"Number of Nights by Irish Residents","2021Q2","United States and Canada","Thousand","9"
"Number of Nights by Irish Residents","2021Q2","Great Britain","Thousand","226"
"Number of Nights by Irish Residents","2021Q2","Northern Ireland","Thousand","273"
"Number of Nights by Irish Residents","2021Q2","Asia (7)","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Other Europe (22)","Thousand","706"
"Number of Nights by Irish Residents","2021Q2","Other countries (26)","Thousand",""
"Number of Nights by Irish Residents","2021Q3","All Countries","Thousand","7116"
"Number of Nights by Irish Residents","2021Q3","Germany","Thousand","66"
"Number of Nights by Irish Residents","2021Q3","Spain","Thousand","1136"
"Number of Nights by Irish Residents","2021Q3","France","Thousand","511"
"Number of Nights by Irish Residents","2021Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1996"
"Number of Nights by Irish Residents","2021Q3","Italy","Thousand","110"
"Number of Nights by Irish Residents","2021Q3","Portugal","Thousand","332"
"Number of Nights by Irish Residents","2021Q3","United States and Canada","Thousand","5"
"Number of Nights by Irish Residents","2021Q3","Great Britain","Thousand","1113"
"Number of Nights by Irish Residents","2021Q3","Northern Ireland","Thousand","883"
"Number of Nights by Irish Residents","2021Q3","Asia (7)","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Other Europe (22)","Thousand","2011"
"Number of Nights by Irish Residents","2021Q3","Other countries (26)","Thousand","950"
"Number of Nights by Irish Residents","2021Q4","All Countries","Thousand","7254"
"Number of Nights by Irish Residents","2021Q4","Germany","Thousand","129"
"Number of Nights by Irish Residents","2021Q4","Spain","Thousand","1144"
"Number of Nights by Irish Residents","2021Q4","France","Thousand","562"
"Number of Nights by Irish Residents","2021Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2070"
"Number of Nights by Irish Residents","2021Q4","Italy","Thousand","138"
"Number of Nights by Irish Residents","2021Q4","Portugal","Thousand","470"
"Number of Nights by Irish Residents","2021Q4","United States and Canada","Thousand","341"
"Number of Nights by Irish Residents","2021Q4","Great Britain","Thousand","1802"
"Number of Nights by Irish Residents","2021Q4","Northern Ireland","Thousand","267"
"Number of Nights by Irish Residents","2021Q4","Asia (7)","Thousand","591"
"Number of Nights by Irish Residents","2021Q4","Other Europe (22)","Thousand","1233"
"Number of Nights by Irish Residents","2021Q4","Other countries (26)","Thousand","576"
"Number of Nights by Irish Residents","2022Q1","All Countries","Thousand","6068"
"Number of Nights by Irish Residents","2022Q1","Germany","Thousand","84"
"Number of Nights by Irish Residents","2022Q1","Spain","Thousand","1224"
"Number of Nights by Irish Residents","2022Q1","France","Thousand","824"
"Number of Nights by Irish Residents","2022Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1323"
"Number of Nights by Irish Residents","2022Q1","Italy","Thousand","211"
"Number of Nights by Irish Residents","2022Q1","Portugal","Thousand","165"
"Number of Nights by Irish Residents","2022Q1","United States and Canada","Thousand","361"
"Number of Nights by Irish Residents","2022Q1","Great Britain","Thousand","782"
"Number of Nights by Irish Residents","2022Q1","Northern Ireland","Thousand","541"
"Number of Nights by Irish Residents","2022Q1","Asia (7)","Thousand","142"
"Number of Nights by Irish Residents","2022Q1","Other Europe (22)","Thousand","1371"
"Number of Nights by Irish Residents","2022Q1","Other countries (26)","Thousand","363"
"Number of Nights by Irish Residents","2022Q2","All Countries","Thousand","17000"
"Number of Nights by Irish Residents","2022Q2","Germany","Thousand","160"
"Number of Nights by Irish Residents","2022Q2","Spain","Thousand","3984"
"Number of Nights by Irish Residents","2022Q2","France","Thousand","1170"
"Number of Nights by Irish Residents","2022Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2373"
"Number of Nights by Irish Residents","2022Q2","Italy","Thousand","878"
"Number of Nights by Irish Residents","2022Q2","Portugal","Thousand","1171"
"Number of Nights by Irish Residents","2022Q2","United States and Canada","Thousand","1094"
"Number of Nights by Irish Residents","2022Q2","Great Britain","Thousand","1874"
"Number of Nights by Irish Residents","2022Q2","Northern Ireland","Thousand","499"
"Number of Nights by Irish Residents","2022Q2","Asia (7)","Thousand","535"
"Number of Nights by Irish Residents","2022Q2","Other Europe (22)","Thousand","3732"
"Number of Nights by Irish Residents","2022Q2","Other countries (26)","Thousand","1902"
"Number of Nights by Irish Residents","2022Q3","All Countries","Thousand","25593"
"Number of Nights by Irish Residents","2022Q3","Germany","Thousand","499"
"Number of Nights by Irish Residents","2022Q3","Spain","Thousand","7444"
"Number of Nights by Irish Residents","2022Q3","France","Thousand","3191"
"Number of Nights by Irish Residents","2022Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2309"
"Number of Nights by Irish Residents","2022Q3","Italy","Thousand","2373"
"Number of Nights by Irish Residents","2022Q3","Portugal","Thousand","1766"
"Number of Nights by Irish Residents","2022Q3","United States and Canada","Thousand","1290"
