"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"50 years and over","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","2380"
"50 years and over","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"50 years and over","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","988"
"50 years and over","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","3952"
"50 years and over","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","4"
"50 years and over","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","842"
"50 years and over","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","2201"
"50 years and over","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"50 years and over","Outbound","2000Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2000Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2000Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2000Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2000Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2000Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2000Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2000Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2001Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2001Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2001Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2001Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2001Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2001Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2001Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2001Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2002Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2002Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2002Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2002Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2002Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2002Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2002Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2002Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","327"
"50 years and over","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","2992"
"50 years and over","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"50 years and over","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","527"
"50 years and over","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","4261"
"50 years and over","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"50 years and over","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","571"
"50 years and over","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","5383"
"50 years and over","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"50 years and over","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","485"
"50 years and over","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","3515"
"50 years and over","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.2"
"50 years and over","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","489"
"50 years and over","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","3922"
"50 years and over","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","8"
"50 years and over","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","653"
"50 years and over","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","5386"
"50 years and over","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.2"
"50 years and over","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","699"
"50 years and over","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","5925"
"50 years and over","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.5"
"50 years and over","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","616"
"50 years and over","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","4332"
"50 years and over","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","7"
"50 years and over","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","718"
"50 years and over","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","5308"
"50 years and over","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"50 years and over","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","974"
"50 years and over","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","7353"
"50 years and over","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.5"
"50 years and over","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","949"
"50 years and over","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","8206"
"50 years and over","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.6"
"50 years and over","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","763"
"50 years and over","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","5075"
"50 years and over","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.7"
"50 years and over","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","757"
"50 years and over","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand","6053"
"50 years and over","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","8"
"50 years and over","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand","948"
"50 years and over","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand","7326"
"50 years and over","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.7"
"50 years and over","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand","994"
"50 years and over","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand","8148"
"50 years and over","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.2"
"50 years and over","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand","836"
"50 years and over","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand","5926"
"50 years and over","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"50 years and over","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand","810"
"50 years and over","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand","5767"
"50 years and over","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"50 years and over","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand","863"
"50 years and over","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand","6827"
"50 years and over","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"50 years and over","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand","882"
"50 years and over","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand","6999"
"50 years and over","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"50 years and over","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand","764"
"50 years and over","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand","5432"
"50 years and over","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"50 - 59 years","Domestic","2000Q1","Number of Trips by Irish Residents","Thousand","155"
"50 - 59 years","Domestic","2000Q1","Number of Nights by Irish Residents","Thousand","496"
"50 - 59 years","Domestic","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"50 - 59 years","Domestic","2000Q2","Number of Trips by Irish Residents","Thousand","157"
"50 - 59 years","Domestic","2000Q2","Number of Nights by Irish Residents","Thousand","584"
"50 - 59 years","Domestic","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"50 - 59 years","Domestic","2000Q3","Number of Trips by Irish Residents","Thousand","207"
"50 - 59 years","Domestic","2000Q3","Number of Nights by Irish Residents","Thousand","955"
"50 - 59 years","Domestic","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"50 - 59 years","Domestic","2000Q4","Number of Trips by Irish Residents","Thousand","183"
"50 - 59 years","Domestic","2000Q4","Number of Nights by Irish Residents","Thousand","521"
"50 - 59 years","Domestic","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"50 - 59 years","Domestic","2001Q1","Number of Trips by Irish Residents","Thousand","134"
