"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Nights by Irish Residents","2004Q3","All types of accommodation","Domestic","Thousand","10653"
"Number of Nights by Irish Residents","2004Q3","All types of accommodation","Outbound","Thousand","18193"
"Number of Nights by Irish Residents","2004Q3","Friends/relatives","Domestic","Thousand","2594"
"Number of Nights by Irish Residents","2004Q3","Friends/relatives","Outbound","Thousand","3547"
"Number of Nights by Irish Residents","2004Q3","Hotel/conference centre","Domestic","Thousand","1783"
"Number of Nights by Irish Residents","2004Q3","Hotel/conference centre","Outbound","Thousand","4975"
"Number of Nights by Irish Residents","2004Q3","Self catering/rented house","Domestic","Thousand","2513"
"Number of Nights by Irish Residents","2004Q3","Self catering/rented house","Outbound","Thousand","5532"
"Number of Nights by Irish Residents","2004Q3","Other","Domestic","Thousand","546"
"Number of Nights by Irish Residents","2004Q3","Other","Outbound","Thousand","1308"
"Number of Nights by Irish Residents","2004Q4","All types of accommodation","Domestic","Thousand","4673"
"Number of Nights by Irish Residents","2004Q4","All types of accommodation","Outbound","Thousand","7854"
"Number of Nights by Irish Residents","2004Q4","Friends/relatives","Domestic","Thousand","2102"
"Number of Nights by Irish Residents","2004Q4","Friends/relatives","Outbound","Thousand","2256"
"Number of Nights by Irish Residents","2004Q4","Hotel/conference centre","Domestic","Thousand","1372"
"Number of Nights by Irish Residents","2004Q4","Hotel/conference centre","Outbound","Thousand","2999"
"Number of Nights by Irish Residents","2004Q4","Self catering/rented house","Domestic","Thousand","366"
"Number of Nights by Irish Residents","2004Q4","Self catering/rented house","Outbound","Thousand","1477"
"Number of Nights by Irish Residents","2004Q4","Other","Domestic","Thousand","198"
"Number of Nights by Irish Residents","2004Q4","Other","Outbound","Thousand","480"
"Number of Nights by Irish Residents","2005Q1","All types of accommodation","Domestic","Thousand","4170"
"Number of Nights by Irish Residents","2005Q1","All types of accommodation","Outbound","Thousand","8502"
"Number of Nights by Irish Residents","2005Q1","Friends/relatives","Domestic","Thousand","1647"
"Number of Nights by Irish Residents","2005Q1","Friends/relatives","Outbound","Thousand","2373"
"Number of Nights by Irish Residents","2005Q1","Hotel/conference centre","Domestic","Thousand","1395"
"Number of Nights by Irish Residents","2005Q1","Hotel/conference centre","Outbound","Thousand","3334"
"Number of Nights by Irish Residents","2005Q1","Self catering/rented house","Domestic","Thousand","309"
"Number of Nights by Irish Residents","2005Q1","Self catering/rented house","Outbound","Thousand","1438"
"Number of Nights by Irish Residents","2005Q1","Other","Domestic","Thousand","120"
"Number of Nights by Irish Residents","2005Q1","Other","Outbound","Thousand","616"
"Number of Nights by Irish Residents","2005Q2","All types of accommodation","Domestic","Thousand","5195"
"Number of Nights by Irish Residents","2005Q2","All types of accommodation","Outbound","Thousand","14592"
"Number of Nights by Irish Residents","2005Q2","Friends/relatives","Domestic","Thousand","1418"
"Number of Nights by Irish Residents","2005Q2","Friends/relatives","Outbound","Thousand","2544"
"Number of Nights by Irish Residents","2005Q2","Hotel/conference centre","Domestic","Thousand","1559"
"Number of Nights by Irish Residents","2005Q2","Hotel/conference centre","Outbound","Thousand","4494"
"Number of Nights by Irish Residents","2005Q2","Self catering/rented house","Domestic","Thousand","669"
"Number of Nights by Irish Residents","2005Q2","Self catering/rented house","Outbound","Thousand","4328"
"Number of Nights by Irish Residents","2005Q2","Other","Domestic","Thousand","369"
"Number of Nights by Irish Residents","2005Q2","Other","Outbound","Thousand","1273"
"Number of Nights by Irish Residents","2005Q3","All types of accommodation","Domestic","Thousand","10685"
"Number of Nights by Irish Residents","2005Q3","All types of accommodation","Outbound","Thousand","19828"
"Number of Nights by Irish Residents","2005Q3","Friends/relatives","Domestic","Thousand","2455"
"Number of Nights by Irish Residents","2005Q3","Friends/relatives","Outbound","Thousand","3960"
"Number of Nights by Irish Residents","2005Q3","Hotel/conference centre","Domestic","Thousand","2113"
"Number of Nights by Irish Residents","2005Q3","Hotel/conference centre","Outbound","Thousand","5684"
"Number of Nights by Irish Residents","2005Q3","Self catering/rented house","Domestic","Thousand","2255"
"Number of Nights by Irish Residents","2005Q3","Self catering/rented house","Outbound","Thousand","5545"
"Number of Nights by Irish Residents","2005Q3","Other","Domestic","Thousand","697"
"Number of Nights by Irish Residents","2005Q3","Other","Outbound","Thousand","1427"
"Number of Nights by Irish Residents","2005Q4","All types of accommodation","Domestic","Thousand","4557"
"Number of Nights by Irish Residents","2005Q4","All types of accommodation","Outbound","Thousand","8581"
"Number of Nights by Irish Residents","2005Q4","Friends/relatives","Domestic","Thousand","2042"
"Number of Nights by Irish Residents","2005Q4","Friends/relatives","Outbound","Thousand","2740"
"Number of Nights by Irish Residents","2005Q4","Hotel/conference centre","Domestic","Thousand","1291"
"Number of Nights by Irish Residents","2005Q4","Hotel/conference centre","Outbound","Thousand","3453"
"Number of Nights by Irish Residents","2005Q4","Self catering/rented house","Domestic","Thousand","349"
"Number of Nights by Irish Residents","2005Q4","Self catering/rented house","Outbound","Thousand","1290"
"Number of Nights by Irish Residents","2005Q4","Other","Domestic","Thousand","334"
"Number of Nights by Irish Residents","2005Q4","Other","Outbound","Thousand","263"
"Number of Nights by Irish Residents","2006Q1","All types of accommodation","Domestic","Thousand","3708"
"Number of Nights by Irish Residents","2006Q1","All types of accommodation","Outbound","Thousand","9140"
"Number of Nights by Irish Residents","2006Q1","Friends/relatives","Domestic","Thousand","1321"
"Number of Nights by Irish Residents","2006Q1","Friends/relatives","Outbound","Thousand","2452"
"Number of Nights by Irish Residents","2006Q1","Hotel/conference centre","Domestic","Thousand","1386"
"Number of Nights by Irish Residents","2006Q1","Hotel/conference centre","Outbound","Thousand","3601"
"Number of Nights by Irish Residents","2006Q1","Self catering/rented house","Domestic","Thousand","246"
"Number of Nights by Irish Residents","2006Q1","Self catering/rented house","Outbound","Thousand","1325"
"Number of Nights by Irish Residents","2006Q1","Other","Domestic","Thousand","217"
"Number of Nights by Irish Residents","2006Q1","Other","Outbound","Thousand","556"
"Number of Nights by Irish Residents","2006Q2","All types of accommodation","Domestic","Thousand","5357"
"Number of Nights by Irish Residents","2006Q2","All types of accommodation","Outbound","Thousand","14731"
"Number of Nights by Irish Residents","2006Q2","Friends/relatives","Domestic","Thousand","1836"
"Number of Nights by Irish Residents","2006Q2","Friends/relatives","Outbound","Thousand","2936"
"Number of Nights by Irish Residents","2006Q2","Hotel/conference centre","Domestic","Thousand","1378"
"Number of Nights by Irish Residents","2006Q2","Hotel/conference centre","Outbound","Thousand","4828"
"Number of Nights by Irish Residents","2006Q2","Self catering/rented house","Domestic","Thousand","697"
"Number of Nights by Irish Residents","2006Q2","Self catering/rented house","Outbound","Thousand","4008"
"Number of Nights by Irish Residents","2006Q2","Other","Domestic","Thousand","360"
"Number of Nights by Irish Residents","2006Q2","Other","Outbound","Thousand","751"
"Number of Nights by Irish Residents","2006Q3","All types of accommodation","Domestic","Thousand","10659"
"Number of Nights by Irish Residents","2006Q3","All types of accommodation","Outbound","Thousand","20378"
"Number of Nights by Irish Residents","2006Q3","Friends/relatives","Domestic","Thousand","2524"
"Number of Nights by Irish Residents","2006Q3","Friends/relatives","Outbound","Thousand","4188"
"Number of Nights by Irish Residents","2006Q3","Hotel/conference centre","Domestic","Thousand","2158"
"Number of Nights by Irish Residents","2006Q3","Hotel/conference centre","Outbound","Thousand","5956"
"Number of Nights by Irish Residents","2006Q3","Self catering/rented house","Domestic","Thousand","2013"
"Number of Nights by Irish Residents","2006Q3","Self catering/rented house","Outbound","Thousand","5865"
"Number of Nights by Irish Residents","2006Q3","Other","Domestic","Thousand","432"
"Number of Nights by Irish Residents","2006Q3","Other","Outbound","Thousand","995"
"Number of Nights by Irish Residents","2006Q4","All types of accommodation","Domestic","Thousand","10659"
"Number of Nights by Irish Residents","2006Q4","All types of accommodation","Outbound","Thousand","20378"
"Number of Nights by Irish Residents","2006Q4","Friends/relatives","Domestic","Thousand","2524"
"Number of Nights by Irish Residents","2006Q4","Friends/relatives","Outbound","Thousand","4188"
"Number of Nights by Irish Residents","2006Q4","Hotel/conference centre","Domestic","Thousand","2158"
"Number of Nights by Irish Residents","2006Q4","Hotel/conference centre","Outbound","Thousand","5956"
"Number of Nights by Irish Residents","2006Q4","Self catering/rented house","Domestic","Thousand","2013"
"Number of Nights by Irish Residents","2006Q4","Self catering/rented house","Outbound","Thousand","5865"
"Number of Nights by Irish Residents","2006Q4","Other","Domestic","Thousand","432"
"Number of Nights by Irish Residents","2006Q4","Other","Outbound","Thousand","995"
"Number of Nights by Irish Residents","2007Q1","All types of accommodation","Domestic","Thousand","3983"
"Number of Nights by Irish Residents","2007Q1","All types of accommodation","Outbound","Thousand","10431"
"Number of Nights by Irish Residents","2007Q1","Friends/relatives","Domestic","Thousand","1493"
"Number of Nights by Irish Residents","2007Q1","Friends/relatives","Outbound","Thousand","2370"
"Number of Nights by Irish Residents","2007Q1","Hotel/conference centre","Domestic","Thousand","1525"
"Number of Nights by Irish Residents","2007Q1","Hotel/conference centre","Outbound","Thousand","4308"
"Number of Nights by Irish Residents","2007Q1","Self catering/rented house","Domestic","Thousand","209"
"Number of Nights by Irish Residents","2007Q1","Self catering/rented house","Outbound","Thousand","1712"
"Number of Nights by Irish Residents","2007Q1","Other","Domestic","Thousand","176"
"Number of Nights by Irish Residents","2007Q1","Other","Outbound","Thousand","732"
"Number of Nights by Irish Residents","2007Q2","All types of accommodation","Domestic","Thousand","5909"
"Number of Nights by Irish Residents","2007Q2","All types of accommodation","Outbound","Thousand","16460"
"Number of Nights by Irish Residents","2007Q2","Friends/relatives","Domestic","Thousand","1642"
"Number of Nights by Irish Residents","2007Q2","Friends/relatives","Outbound","Thousand","3105"
"Number of Nights by Irish Residents","2007Q2","Hotel/conference centre","Domestic","Thousand","1790"
"Number of Nights by Irish Residents","2007Q2","Hotel/conference centre","Outbound","Thousand","5541"
"Number of Nights by Irish Residents","2007Q2","Self catering/rented house","Domestic","Thousand","810"
"Number of Nights by Irish Residents","2007Q2","Self catering/rented house","Outbound","Thousand","4487"
"Number of Nights by Irish Residents","2007Q2","Other","Domestic","Thousand","298"
"Number of Nights by Irish Residents","2007Q2","Other","Outbound","Thousand","885"
"Number of Nights by Irish Residents","2007Q3","All types of accommodation","Domestic","Thousand","11415"
"Number of Nights by Irish Residents","2007Q3","All types of accommodation","Outbound","Thousand","22941"
"Number of Nights by Irish Residents","2007Q3","Friends/relatives","Domestic","Thousand","2567"
"Number of Nights by Irish Residents","2007Q3","Friends/relatives","Outbound","Thousand","4818"
"Number of Nights by Irish Residents","2007Q3","Hotel/conference centre","Domestic","Thousand","2286"
