"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"Dublin","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","88"
"Dublin","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","245"
"Dublin","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"Dublin","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","83"
"Dublin","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","240"
"Dublin","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"Dublin","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","75"
"Dublin","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","221"
"Dublin","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"Dublin","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","69"
"Dublin","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","233"
"Dublin","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Dublin","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","188"
"Dublin","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","511"
"Dublin","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"Dublin","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","166"
"Dublin","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","445"
"Dublin","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"Dublin","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","175"
"Dublin","Mid-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","586"
"Dublin","Mid-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"Dublin","Mid-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","166"
"Dublin","Mid-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","479"
"Dublin","Mid-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"Dublin","Mid-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Mid-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Mid-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Mid-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","210"
"Dublin","Mid-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","793"
"Dublin","Mid-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"Dublin","Mid-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","178"
"Dublin","Mid-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","735"
"Dublin","Mid-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.1"
"Dublin","Mid-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","200"
"Dublin","Mid-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","608"
"Dublin","Mid-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3"
"Dublin","Mid-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","223"
"Dublin","Mid-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","737"
"Dublin","Mid-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"Dublin","Mid-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Mid-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Mid-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Mid-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","South-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","501"
"Dublin","South-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","1818"
"Dublin","South-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"Dublin","South-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","541"
"Dublin","South-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","2317"
"Dublin","South-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.3"
"Dublin","South-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","531"
"Dublin","South-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","1979"
"Dublin","South-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"Dublin","South-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","517"
"Dublin","South-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","1868"
"Dublin","South-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"Dublin","South-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","South-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","South-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","South-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","392"
"Dublin","South-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","1886"
"Dublin","South-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.8"
"Dublin","South-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","419"
"Dublin","South-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","2106"
"Dublin","South-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","5"
"Dublin","South-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","390"
"Dublin","South-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","1635"
"Dublin","South-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.2"
"Dublin","South-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","475"
"Dublin","South-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","2139"
"Dublin","South-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.5"
"Dublin","South-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","South-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","South-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","South-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Mid-East","Border, Midland and Western","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Mid-East","Border, Midland and Western","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
