"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Business","Other countries (24)","Thousand","57"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","All Countries","Thousand","1730"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","United States and Canada","Thousand","184"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","EU28 excluding Ireland","Thousand","1408"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","Other Europe (21)","Thousand","31"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","Other countries (24)","Thousand","106"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other reasons","All Countries","Thousand","776"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other reasons","United States and Canada","Thousand","45"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other reasons","EU28 excluding Ireland","Thousand","688"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other reasons","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other reasons","Other Europe (21)","Thousand","16"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other reasons","Other countries (24)","Thousand","26"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","All Countries","Thousand","8643"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","United States and Canada","Thousand","546"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","EU28 excluding Ireland","Thousand","7443"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","Other Europe (21)","Thousand","193"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","Other countries (24)","Thousand","462"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Holiday","All Countries","Thousand","5155"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Holiday","United States and Canada","Thousand","285"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Holiday","EU28 excluding Ireland","Thousand","4569"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Holiday","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Holiday","Other Europe (21)","Thousand","80"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Holiday","Other countries (24)","Thousand","221"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Business","All Countries","Thousand","854"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Business","United States and Canada","Thousand","104"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Business","EU28 excluding Ireland","Thousand","675"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Business","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Business","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Business","Other Europe (21)","Thousand","23"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Business","Other countries (24)","Thousand","52"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","All Countries","Thousand","1884"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","United States and Canada","Thousand","125"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","EU28 excluding Ireland","Thousand","1530"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","Other Europe (21)","Thousand","68"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","Other countries (24)","Thousand","161"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other reasons","All Countries","Thousand","750"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other reasons","United States and Canada","Thousand","32"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other reasons","EU28 excluding Ireland","Thousand","669"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other reasons","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other reasons","Other Europe (21)","Thousand","22"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other reasons","Other countries (24)","Thousand","27"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","All Countries","Thousand","9350"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","United States and Canada","Thousand","584"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","EU28 excluding Ireland","Thousand","8065"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","Other Europe (21)","Thousand","208"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","Other countries (24)","Thousand","494"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Holiday","All Countries","Thousand","5566"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Holiday","United States and Canada","Thousand","273"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Holiday","EU28 excluding Ireland","Thousand","4944"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Holiday","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Holiday","Other Europe (21)","Thousand","122"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Holiday","Other countries (24)","Thousand","228"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Business","All Countries","Thousand","892"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Business","United States and Canada","Thousand","117"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Business","EU28 excluding Ireland","Thousand","680"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Business","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Business","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Business","Other Europe (21)","Thousand","36"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Business","Other countries (24)","Thousand","59"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","All Countries","Thousand","1936"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","United States and Canada","Thousand","156"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","EU28 excluding Ireland","Thousand","1605"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","Other Europe (21)","Thousand","31"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","Other countries (24)","Thousand","144"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other reasons","All Countries","Thousand","956"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other reasons","United States and Canada","Thousand","38"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other reasons","EU28 excluding Ireland","Thousand","837"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other reasons","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other reasons","Other Europe (21)","Thousand","19"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other reasons","Other countries (24)","Thousand","63"
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","All Countries","Thousand","2365"
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","United States and Canada","Thousand",""
