"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"USCA","United States and Canada","4","Other reason for journey","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"USCA","United States and Canada","4","Other reason for journey","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"USCA","United States and Canada","4","Other reason for journey","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"USCA","United States and Canada","4","Other reason for journey","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"USCA","United States and Canada","4","Other reason for journey","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"USCA","United States and Canada","4","Other reason for journey","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"USCA","United States and Canada","4","Other reason for journey","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"USCA","United States and Canada","4","Other reason for journey","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.1"
"USCA","United States and Canada","4","Other reason for journey","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"USCA","United States and Canada","4","Other reason for journey","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"USCA","United States and Canada","4","Other reason for journey","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"USCA","United States and Canada","4","Other reason for journey","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"USCA","United States and Canada","4","Other reason for journey","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"USCA","United States and Canada","4","Other reason for journey","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.7"
"USCA","United States and Canada","4","Other reason for journey","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"USCA","United States and Canada","4","Other reason for journey","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"USCA","United States and Canada","4","Other reason for journey","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"USCA","United States and Canada","4","Other reason for journey","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"USCA","United States and Canada","4","Other reason for journey","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"USCA","United States and Canada","4","Other reason for journey","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","1.8"
"USCA","United States and Canada","4","Other reason for journey","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"USCA","United States and Canada","4","Other reason for journey","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"USCA","United States and Canada","4","Other reason for journey","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"USCA","United States and Canada","4","Other reason for journey","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"USCA","United States and Canada","4","Other reason for journey","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"XB","Great Britain","-","All reasons for journey","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"XB","Great Britain","-","All reasons for journey","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","168"
"XB","Great Britain","-","All reasons for journey","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","48"
"XB","Great Britain","-","All reasons for journey","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"XB","Great Britain","-","All reasons for journey","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"XB","Great Britain","-","All reasons for journey","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"XB","Great Britain","-","All reasons for journey","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"XB","Great Britain","-","All reasons for journey","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","246"
"XB","Great Britain","-","All reasons for journey","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"XB","Great Britain","-","All reasons for journey","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"XB","Great Britain","-","All reasons for journey","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"XB","Great Britain","-","All reasons for journey","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"XB","Great Britain","-","All reasons for journey","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"XB","Great Britain","-","All reasons for journey","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","176"
"XB","Great Britain","-","All reasons for journey","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"XB","Great Britain","-","All reasons for journey","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"XB","Great Britain","-","All reasons for journey","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"XB","Great Britain","-","All reasons for journey","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"XB","Great Britain","-","All reasons for journey","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"XB","Great Britain","-","All reasons for journey","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","281"
"XB","Great Britain","-","All reasons for journey","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","39"
"XB","Great Britain","-","All reasons for journey","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"XB","Great Britain","-","All reasons for journey","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","196"
"XB","Great Britain","-","All reasons for journey","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"XB","Great Britain","-","All reasons for journey","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"XB","Great Britain","-","All reasons for journey","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","171"
"XB","Great Britain","-","All reasons for journey","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","46"
"XB","Great Britain","-","All reasons for journey","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"XB","Great Britain","-","All reasons for journey","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"XB","Great Britain","-","All reasons for journey","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","39"
"XB","Great Britain","-","All reasons for journey","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"XB","Great Britain","-","All reasons for journey","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","280"
"XB","Great Britain","-","All reasons for journey","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"XB","Great Britain","-","All reasons for journey","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"XB","Great Britain","-","All reasons for journey","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","212"
"XB","Great Britain","-","All reasons for journey","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"XB","Great Britain","-","All reasons for journey","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"XB","Great Britain","-","All reasons for journey","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","181"
"XB","Great Britain","-","All reasons for journey","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","47"
"XB","Great Britain","-","All reasons for journey","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"XB","Great Britain","-","All reasons for journey","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","246"
"XB","Great Britain","-","All reasons for journey","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"XB","Great Britain","-","All reasons for journey","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"XB","Great Britain","-","All reasons for journey","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","309"
"XB","Great Britain","-","All reasons for journey","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"XB","Great Britain","-","All reasons for journey","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"XB","Great Britain","-","All reasons for journey","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","236"
"XB","Great Britain","-","All reasons for journey","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
