"STATISTIC Label","Month","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2010 June","All countries","Arrivals","Thousand","1223"
"Air and Sea Travel","2010 June","All countries","Departures","Thousand","1349.9"
"Air and Sea Travel","2010 July","Great Britain","Arrivals","Thousand","671.1"
"Air and Sea Travel","2010 July","Great Britain","Departures","Thousand","626.8"
"Air and Sea Travel","2010 July","Other UK (1)","Arrivals","Thousand","3.6"
"Air and Sea Travel","2010 July","Other UK (1)","Departures","Thousand","3.6"
"Air and Sea Travel","2010 July","Belgium","Arrivals","Thousand","15.1"
"Air and Sea Travel","2010 July","Belgium","Departures","Thousand","14.1"
"Air and Sea Travel","2010 July","Germany","Arrivals","Thousand","71.4"
"Air and Sea Travel","2010 July","Germany","Departures","Thousand","67.8"
"Air and Sea Travel","2010 July","Spain","Arrivals","Thousand","193.3"
"Air and Sea Travel","2010 July","Spain","Departures","Thousand","196.9"
"Air and Sea Travel","2010 July","France","Arrivals","Thousand","135.2"
"Air and Sea Travel","2010 July","France","Departures","Thousand","128.2"
"Air and Sea Travel","2010 July","Italy","Arrivals","Thousand","61.2"
"Air and Sea Travel","2010 July","Italy","Departures","Thousand","56.1"
"Air and Sea Travel","2010 July","Netherlands","Arrivals","Thousand","32.7"
"Air and Sea Travel","2010 July","Netherlands","Departures","Thousand","29.7"
"Air and Sea Travel","2010 July","Poland","Arrivals","Thousand","48.5"
"Air and Sea Travel","2010 July","Poland","Departures","Thousand","51"
"Air and Sea Travel","2010 July","Portugal","Arrivals","Thousand","47.3"
"Air and Sea Travel","2010 July","Portugal","Departures","Thousand","48.9"
"Air and Sea Travel","2010 July","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Arrivals","Thousand","87.6"
"Air and Sea Travel","2010 July","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Departures","Thousand","93.6"
"Air and Sea Travel","2010 July","Switzerland","Arrivals","Thousand","12.7"
"Air and Sea Travel","2010 July","Switzerland","Departures","Thousand","12"
"Air and Sea Travel","2010 July","Other Europe (34)","Arrivals","Thousand","8.2"
"Air and Sea Travel","2010 July","Other Europe (34)","Departures","Thousand","9.2"
"Air and Sea Travel","2010 July","United States","Arrivals","Thousand","94.3"
"Air and Sea Travel","2010 July","United States","Departures","Thousand","104.5"
"Air and Sea Travel","2010 July","Other Transatlantic Countries(1)","Arrivals","Thousand","10.4"
"Air and Sea Travel","2010 July","Other Transatlantic Countries(1)","Departures","Thousand","11.2"
"Air and Sea Travel","2010 July","United Arab Emirates","Arrivals","Thousand","9.2"
"Air and Sea Travel","2010 July","United Arab Emirates","Departures","Thousand","8.8"
"Air and Sea Travel","2010 July","Other Countries(42)","Arrivals","Thousand","18.4"
"Air and Sea Travel","2010 July","Other Countries(42)","Departures","Thousand","19.1"
"Air and Sea Travel","2010 July","All countries","Arrivals","Thousand","1520.2"
"Air and Sea Travel","2010 July","All countries","Departures","Thousand","1481.6"
"Air and Sea Travel","2010 August","Great Britain","Arrivals","Thousand","698.6"
"Air and Sea Travel","2010 August","Great Britain","Departures","Thousand","691.8"
"Air and Sea Travel","2010 August","Other UK (1)","Arrivals","Thousand","3.4"
"Air and Sea Travel","2010 August","Other UK (1)","Departures","Thousand","3.4"
"Air and Sea Travel","2010 August","Belgium","Arrivals","Thousand","13.9"
"Air and Sea Travel","2010 August","Belgium","Departures","Thousand","14.7"
"Air and Sea Travel","2010 August","Germany","Arrivals","Thousand","74"
"Air and Sea Travel","2010 August","Germany","Departures","Thousand","70.1"
"Air and Sea Travel","2010 August","Spain","Arrivals","Thousand","192"
"Air and Sea Travel","2010 August","Spain","Departures","Thousand","172.6"
"Air and Sea Travel","2010 August","France","Arrivals","Thousand","133"
"Air and Sea Travel","2010 August","France","Departures","Thousand","126.2"
"Air and Sea Travel","2010 August","Italy","Arrivals","Thousand","58.7"
"Air and Sea Travel","2010 August","Italy","Departures","Thousand","57.5"
"Air and Sea Travel","2010 August","Netherlands","Arrivals","Thousand","31"
"Air and Sea Travel","2010 August","Netherlands","Departures","Thousand","32.5"
"Air and Sea Travel","2010 August","Poland","Arrivals","Thousand","48.4"
"Air and Sea Travel","2010 August","Poland","Departures","Thousand","45.8"
"Air and Sea Travel","2010 August","Portugal","Arrivals","Thousand","50"
"Air and Sea Travel","2010 August","Portugal","Departures","Thousand","43.7"
"Air and Sea Travel","2010 August","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Arrivals","Thousand","92.3"
"Air and Sea Travel","2010 August","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Departures","Thousand","83.1"
"Air and Sea Travel","2010 August","Switzerland","Arrivals","Thousand","12.1"
"Air and Sea Travel","2010 August","Switzerland","Departures","Thousand","12.7"
"Air and Sea Travel","2010 August","Other Europe (34)","Arrivals","Thousand","7.8"
"Air and Sea Travel","2010 August","Other Europe (34)","Departures","Thousand","8.1"
"Air and Sea Travel","2010 August","United States","Arrivals","Thousand","98.7"
"Air and Sea Travel","2010 August","United States","Departures","Thousand","100.5"
"Air and Sea Travel","2010 August","Other Transatlantic Countries(1)","Arrivals","Thousand","10.8"
"Air and Sea Travel","2010 August","Other Transatlantic Countries(1)","Departures","Thousand","11"
"Air and Sea Travel","2010 August","United Arab Emirates","Arrivals","Thousand","9.9"
"Air and Sea Travel","2010 August","United Arab Emirates","Departures","Thousand","9.8"
"Air and Sea Travel","2010 August","Other Countries(42)","Arrivals","Thousand","18.9"
"Air and Sea Travel","2010 August","Other Countries(42)","Departures","Thousand","16.9"
"Air and Sea Travel","2010 August","All countries","Arrivals","Thousand","1553.6"
"Air and Sea Travel","2010 August","All countries","Departures","Thousand","1500.5"
"Air and Sea Travel","2010 September","Great Britain","Arrivals","Thousand","520.8"
"Air and Sea Travel","2010 September","Great Britain","Departures","Thousand","546"
"Air and Sea Travel","2010 September","Other UK (1)","Arrivals","Thousand","2.8"
"Air and Sea Travel","2010 September","Other UK (1)","Departures","Thousand","2.8"
"Air and Sea Travel","2010 September","Belgium","Arrivals","Thousand","13.1"
"Air and Sea Travel","2010 September","Belgium","Departures","Thousand","13.2"
"Air and Sea Travel","2010 September","Germany","Arrivals","Thousand","64.2"
"Air and Sea Travel","2010 September","Germany","Departures","Thousand","64.1"
"Air and Sea Travel","2010 September","Spain","Arrivals","Thousand","148.7"
"Air and Sea Travel","2010 September","Spain","Departures","Thousand","142.7"
"Air and Sea Travel","2010 September","France","Arrivals","Thousand","91.6"
"Air and Sea Travel","2010 September","France","Departures","Thousand","87.7"
"Air and Sea Travel","2010 September","Italy","Arrivals","Thousand","48.4"
"Air and Sea Travel","2010 September","Italy","Departures","Thousand","47.2"
"Air and Sea Travel","2010 September","Netherlands","Arrivals","Thousand","29.9"
"Air and Sea Travel","2010 September","Netherlands","Departures","Thousand","29.3"
"Air and Sea Travel","2010 September","Poland","Arrivals","Thousand","43.4"
"Air and Sea Travel","2010 September","Poland","Departures","Thousand","40.5"
"Air and Sea Travel","2010 September","Portugal","Arrivals","Thousand","38.9"
"Air and Sea Travel","2010 September","Portugal","Departures","Thousand","36.8"
"Air and Sea Travel","2010 September","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Arrivals","Thousand","79.1"
"Air and Sea Travel","2010 September","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Departures","Thousand","68.6"
"Air and Sea Travel","2010 September","Switzerland","Arrivals","Thousand","10.3"
"Air and Sea Travel","2010 September","Switzerland","Departures","Thousand","10.2"
"Air and Sea Travel","2010 September","Other Europe (34)","Arrivals","Thousand","6.8"
"Air and Sea Travel","2010 September","Other Europe (34)","Departures","Thousand","6"
"Air and Sea Travel","2010 September","United States","Arrivals","Thousand","85.6"
"Air and Sea Travel","2010 September","United States","Departures","Thousand","86.2"
"Air and Sea Travel","2010 September","Other Transatlantic Countries(1)","Arrivals","Thousand","7.5"
"Air and Sea Travel","2010 September","Other Transatlantic Countries(1)","Departures","Thousand","7"
"Air and Sea Travel","2010 September","United Arab Emirates","Arrivals","Thousand","9.8"
"Air and Sea Travel","2010 September","United Arab Emirates","Departures","Thousand","9.2"
"Air and Sea Travel","2010 September","Other Countries(42)","Arrivals","Thousand","16.5"
"Air and Sea Travel","2010 September","Other Countries(42)","Departures","Thousand","15.1"
"Air and Sea Travel","2010 September","All countries","Arrivals","Thousand","1217.7"
"Air and Sea Travel","2010 September","All countries","Departures","Thousand","1212.4"
"Air and Sea Travel","2010 October","Great Britain","Arrivals","Thousand","544"
"Air and Sea Travel","2010 October","Great Britain","Departures","Thousand","556.6"
"Air and Sea Travel","2010 October","Other UK (1)","Arrivals","Thousand","2.6"
"Air and Sea Travel","2010 October","Other UK (1)","Departures","Thousand","2.6"
"Air and Sea Travel","2010 October","Belgium","Arrivals","Thousand","14.1"
"Air and Sea Travel","2010 October","Belgium","Departures","Thousand","13.8"
"Air and Sea Travel","2010 October","Germany","Arrivals","Thousand","62.9"
"Air and Sea Travel","2010 October","Germany","Departures","Thousand","63.8"
"Air and Sea Travel","2010 October","Spain","Arrivals","Thousand","133.7"
"Air and Sea Travel","2010 October","Spain","Departures","Thousand","120"
"Air and Sea Travel","2010 October","France","Arrivals","Thousand","76.8"
"Air and Sea Travel","2010 October","France","Departures","Thousand","71.2"
"Air and Sea Travel","2010 October","Italy","Arrivals","Thousand","45.1"
"Air and Sea Travel","2010 October","Italy","Departures","Thousand","40.8"
"Air and Sea Travel","2010 October","Netherlands","Arrivals","Thousand","31.4"
"Air and Sea Travel","2010 October","Netherlands","Departures","Thousand","32.3"
"Air and Sea Travel","2010 October","Poland","Arrivals","Thousand","42.1"
"Air and Sea Travel","2010 October","Poland","Departures","Thousand","40.9"
"Air and Sea Travel","2010 October","Portugal","Arrivals","Thousand","31.8"
"Air and Sea Travel","2010 October","Portugal","Departures","Thousand","26.4"
