"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Great Britain","Visit to friends/relatives","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Great Britain","Visit to friends/relatives","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","57"
"Great Britain","Visit to friends/relatives","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"Great Britain","Visit to friends/relatives","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain","Visit to friends/relatives","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","59"
"Great Britain","Visit to friends/relatives","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","60"
"Great Britain","Visit to friends/relatives","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Great Britain","Visit to friends/relatives","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","111"
"Great Britain","Visit to friends/relatives","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","63"
"Great Britain","Visit to friends/relatives","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain","Visit to friends/relatives","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","79"
"Great Britain","Visit to friends/relatives","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","60"
"Great Britain","Visit to friends/relatives","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"Great Britain","Visit to friends/relatives","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","61"
"Great Britain","Visit to friends/relatives","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","53"
"Great Britain","Visit to friends/relatives","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Great Britain","Visit to friends/relatives","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","75"
"Great Britain","Visit to friends/relatives","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","57"
"Great Britain","Visit to friends/relatives","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Great Britain","Visit to friends/relatives","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","110"
"Great Britain","Visit to friends/relatives","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","61"
"Great Britain","Visit to friends/relatives","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Great Britain","Visit to friends/relatives","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","71"
"Great Britain","Visit to friends/relatives","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","59"
"Great Britain","Visit to friends/relatives","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Great Britain","Visit to friends/relatives","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","63"
"Great Britain","Visit to friends/relatives","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","58"
"Great Britain","Visit to friends/relatives","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Great Britain","Visit to friends/relatives","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","76"
"Great Britain","Visit to friends/relatives","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","57"
"Great Britain","Visit to friends/relatives","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"Great Britain","Visit to friends/relatives","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","101"
"Great Britain","Visit to friends/relatives","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","61"
"Great Britain","Visit to friends/relatives","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Great Britain","Visit to friends/relatives","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","76"
"Great Britain","Visit to friends/relatives","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","54"
"Great Britain","Visit to friends/relatives","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Great Britain","Visit to friends/relatives","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","68"
"Great Britain","Visit to friends/relatives","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","54"
"Great Britain","Visit to friends/relatives","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain","Visit to friends/relatives","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","82"
"Great Britain","Visit to friends/relatives","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"Great Britain","Visit to friends/relatives","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Great Britain","Visit to friends/relatives","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","111"
"Great Britain","Visit to friends/relatives","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","61"
"Great Britain","Visit to friends/relatives","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain","Visit to friends/relatives","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","83"
"Great Britain","Visit to friends/relatives","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","54"
"Great Britain","Visit to friends/relatives","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Great Britain","Visit to friends/relatives","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","73"
"Great Britain","Visit to friends/relatives","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"Great Britain","Visit to friends/relatives","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Great Britain","Visit to friends/relatives","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","82"
"Great Britain","Visit to friends/relatives","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","55"
"Great Britain","Visit to friends/relatives","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"Great Britain","Visit to friends/relatives","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","105"
"Great Britain","Visit to friends/relatives","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","58"
"Great Britain","Visit to friends/relatives","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Great Britain","Visit to friends/relatives","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","85"
"Great Britain","Visit to friends/relatives","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"Great Britain","Visit to friends/relatives","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Great Britain","Visit to friends/relatives","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","62"
"Great Britain","Visit to friends/relatives","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","53"
"Great Britain","Visit to friends/relatives","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Great Britain","Visit to friends/relatives","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","85"
"Great Britain","Visit to friends/relatives","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","52"
"Great Britain","Visit to friends/relatives","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Great Britain","Visit to friends/relatives","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"Great Britain","Visit to friends/relatives","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","55"
"Great Britain","Visit to friends/relatives","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Great Britain","Visit to friends/relatives","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"Great Britain","Visit to friends/relatives","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","54"
"Great Britain","Visit to friends/relatives","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Great Britain","Visit to friends/relatives","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","56"
"Great Britain","Visit to friends/relatives","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","50"
"Great Britain","Visit to friends/relatives","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Great Britain","Visit to friends/relatives","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"Great Britain","Visit to friends/relatives","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","54"
"Great Britain","Visit to friends/relatives","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Great Britain","Visit to friends/relatives","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","105"
"Great Britain","Visit to friends/relatives","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"Great Britain","Visit to friends/relatives","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","Visit to friends/relatives","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"Great Britain","Visit to friends/relatives","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","52"
